filename,map,duration_s,players,shape,usable
2020-07-17-0818-bctf01.dm2,bctf01,128.4,0,client(human),False
2020-07-17-0821-bctf01.dm2,bctf01,351.5,1,client(human),True
lmctf-2020-07-10-bmap13-16.38.dm2,bmap13,821.6,0,client(human),True
lmctf-2020-07-10-bmap28-16.37.dm2,bmap28,5.5,0,client(human),False
lmctf-2020-07-10-bmap33-16.35.dm2,bmap33,22.7,0,client(human),False
lmctf-2020-07-10-q2uctf4-16.34.dm2,q2uctf4,13.0,0,client(human),False
lmctf-2020-07-10-q2uctf8-16.34.dm2,q2uctf8,15.5,0,client(human),False
lmctf-2020-07-12-bmap1-09.59.dm2,bmap1,12.3,0,client(human),False
lmctf-2020-07-12-geminictf-09.59.dm2,geminictf,11.2,0,client(human),False
lmctf-2020-07-12-graphap-09.59.dm2,graphap,7.0,0,client(human),False
lmctf-2020-07-12-nectf1-09.59.dm2,nectf1,3.3,0,client(human),False
lmctf-2021-08-22-lmctf04-20.40.dm2,lmctf04,948.2,9,client(human),True
lmctf-2021-08-22-lmctf10-20.56.dm2,lmctf10,987.0,10,client(human),True
lmctf-2021-08-22-lmctf14-21.13.dm2,lmctf14,22.9,4,client(human),False
lmctf-2021-08-22-lmctf24-20.56.dm2,lmctf24,16.8,4,client(human),False
lmctf-2021-08-22-lmctf26-21.12.dm2,lmctf26,18.4,4,client(human),False
lmctf-2021-10-15-lmctf09-22.20.dm2,lmctf09,1006.9,7,client(human),True
lmctf-2021-10-15-lmctf38-21.41.dm2,lmctf38,38.3,6,client(human),False
lmctf-2021-10-15-lmctf39-22.19.dm2,lmctf39,72.7,5,client(human),False
lmctf-2021-10-15-lmctf41-21.21.dm2,lmctf41,1179.2,10,client(human),True
lmctf-2021-10-15-smap05-21.42.dm2,smap05,826.1,9,client(human),True
lmctf-2021-10-15-smap05-21.55.dm2,smap05,1300.6,8,client(human),True
lmctf-2021-10-18-lmctf01-20.29.dm2,lmctf01,1.3,0,client(human),False
lmctf-2021-10-18-lmctf01-20.37.dm2,lmctf01,146.5,9,client(human),False
lmctf-2021-10-18-lmctf01-21.29.dm2,lmctf01,121.7,6,client(human),False
lmctf-2021-10-18-lmctf02c-21.08.dm2,lmctf02c,27.3,4,client(human),False
lmctf-2021-10-18-lmctf24-20.29.dm2,lmctf24,51.5,1,client(human),False
lmctf-2021-10-18-lmctf41-21.08.dm2,lmctf41,107.1,8,client(human),False
lmctf-2021-10-18-lmctf41-21.10.dm2,lmctf41,1104.1,10,client(human),True
lmctf-2021-10-18-lmctf58-20.31.dm2,lmctf58,262.5,8,client(human),False
lmctf-2021-10-18-smap05-21.31.dm2,smap05,114.7,9,client(human),False
lmctf-2021-10-18-smap05-21.33.dm2,smap05,1348.8,10,client(human),True
lmctf-2021-10-18-smap33-20.40.dm2,smap33,238.5,10,client(human),False
lmctf-2021-10-18-smap33-20.44.dm2,smap33,1457.1,12,client(human),True
lmctf-2021-10-24-lmctf26-21.17.dm2,lmctf26,105.7,1,client(human),False
lmctf-2021-10-24-lmctf26-21.19.dm2,lmctf26,700.7,4,client(human),True
lmctf-2021-10-24-lmctf26-21.44.dm2,lmctf26,629.4,4,client(human),True
lmctf-2021-10-24-lmctf35-21.31.dm2,lmctf35,767.3,5,client(human),True
lmctf-2021-10-24-lmctf44-22.14.dm2,lmctf44,106.1,4,client(human),False
lmctf-2021-10-24-lmctf63-21.54.dm2,lmctf63,1203.7,5,client(human),True
lmctf-2021-10-27-lmctf12-21.14.dm2,lmctf12,14.8,3,client(human),False
lmctf-2021-10-27-lmctf26-20.51.dm2,lmctf26,107.0,10,client(human),False
lmctf-2021-10-27-lmctf26-20.52.dm2,lmctf26,1303.0,10,client(human),True
lmctf-2021-10-27-lmctf35-20.33.dm2,lmctf35,1.0,0,client(human),False
lmctf-2021-10-27-lmctf35-20.34.dm2,lmctf35,994.3,10,client(human),True
lmctf-2021-10-27-lmctf35-21.14.dm2,lmctf35,171.6,9,client(human),False
lmctf-2021-10-27-lmctf35-21.17.dm2,lmctf35,637.3,7,client(human),True
lmctf-2021-10-29-lmctf22-20.30.dm2,lmctf22,105.2,5,client(human),False
lmctf-2021-10-29-lmctf24-20.31.dm2,lmctf24,21.2,4,client(human),False
lmctf-2021-10-29-lmctf43-21.04.dm2,lmctf43,437.4,10,client(human),True
lmctf-2021-10-29-lmctf43-21.11.dm2,lmctf43,1366.6,10,client(human),True
lmctf-2021-10-29-lmctf54-21.11.dm2,lmctf54,13.1,3,client(human),False
lmctf-2021-10-29-smap17-20.32.dm2,smap17,625.2,10,client(human),True
lmctf-2021-10-29-smap17-20.42.dm2,smap17,1304.1,10,client(human),True
lmctf-2021-11-02-lmctf01-21.08.dm2,lmctf01,141.8,4,client(human),False
lmctf-2021-11-02-lmctf32-21.32.dm2,lmctf32,338.8,10,client(human),True
